2020-08-04,13,70,10,26,29,45
2020-08-05,19,88,16,33,43,37
2020-08-06,19,76,9,62,24,56
2020-08-07,26,81,11,44,44,62
2020-08-10,32,148,14,28,62,92
2020-08-11,17,115,8,27,31,64
2020-08-12,18,120,14,34,32,83
2020-08-13,21,136,12,32,27,88
2020-08-14,23,120,14,73,27,64
2020-08-18,38,116,32,14,41,78
2020-08-19,17,95,18,23,25,46
2020-08-20,33,108,10,24,40,76
2020-08-21,23,115,18,77,36,58
2020-08-24,37,134,27,22,53,78
2020-08-25,35,126,6,34,29,54
2020-08-26,29,147,18,34,39,95
2020-08-27,30,117,24,34,42,89
2020-08-28,24,113,10,79,41,67
2020-08-31,30,123,20,45,29,96
2020-09-01,22,108,13,53,28,69
2020-09-02,22,135,28,37,37,103
2020-09-03,25,155,26,50,40,150
2020-09-04,50,191,38,68,53,111
2020-09-07,42,200,24,41,58,144
2020-09-08,55,165,19,53,36,107
2020-09-09,32,222,34,59,37,152
2020-09-10,33,178,15,37,34,120
2020-09-11,57,170,30,61,40,129
2020-09-15,51,166,16,60,55,169
2020-09-16,43,189,16,28,34,105
2020-09-17,60,164,22,36,39,151
2020-09-18,39,166,20,64,113,115
2020-09-21,41,176,25,37,47,158
2020-09-22,33,200,20,59,34,100
2020-09-23,34,138,33,46,57,110
2020-09-24,26,129,19,35,47,89
2020-09-25,32,128,19,82,35,126
2020-09-28,58,162,22,41,50,124
2020-09-29,50,143,15,37,32,107
2020-09-30,48,196,21,34,45,114
2020-10-01,48,156,25,30,40,108
2020-10-02,48,163,24,99,66,129
2020-10-05,70,188,17,41,78,166
2020-10-06,37,164,22,46,40,92
2020-10-07,29,198,31,39,53,117
2020-10-08,41,184,40,59,40,115
2020-10-09,55,194,37,70,32,133
2020-10-12,69,213,28,52,68,157
2020-10-13,25,190,17,52,37,107
2020-10-14,48,192,31,45,56,140
2020-10-15,44,167,16,116,55,139
2020-10-16,52,190,31,52,55,154
2020-10-19,63,225,26,55,40,156
2020-10-20,26,204,22,57,44,114
2020-10-21,46,205,17,42,47,110
2020-10-22,38,168,22,63,49,135
2020-10-23,40,181,23,96,52,150
2020-10-26,26,234,21,53,52,191
2020-10-27,51,193,41,54,65,122
2020-10-28,52,178,36,63,52,124
2020-10-29,37,136,35,37,46,108
2020-10-30,70,221,38,83,50,161
2020-11-02,35,231,33,45,78,177
2020-11-03,48,146,13,25,36,112
2020-11-04,37,191,27,40,36,115
2020-11-05,46,178,28,46,69,146
2020-11-06,46,194,26,39,62,130
2020-11-09,58,250,48,36,61,202
2020-11-10,41,178,23,48,59,110
2020-11-11,60,230,24,76,64,156
2020-11-12,41,228,29,75,79,170
2020-11-13,52,227,30,53,73,168
2020-11-16,58,263,36,55,60,194
2020-11-17,27,254,20,30,50,173
2020-11-18,56,237,21,69,50,158
2020-11-19,49,190,32,25,53,149
2020-11-20,42,219,23,40,44,168
2020-11-23,44,247,11,52,30,171
2020-11-24,39,197,14,37,47,125
2020-11-25,54,217,32,49,66,138
2020-11-26,37,214,20,34,44,162
2020-11-27,42,210,38,62,45,135
2020-12-01,42,252,21,45,31,178
2020-12-02,64,154,27,49,48,108
2020-12-03,59,147,22,22,43,118
2020-12-04,63,244,31,67,38,147
2020-12-07,71,210,37,47,69,183
2020-12-08,34,211,12,46,57,130
2020-12-09,43,199,37,29,46,150
2020-12-10,81,229,34,52,65,186
2020-12-11,66,236,26,47,64,201
2020-12-14,42,216,15,38,63,172
2020-12-15,37,163,16,24,44,150
2020-12-16,80,232,34,41,54,159
2020-12-21,2,1,1,3,0,0
2020-12-23,1,0,0,0,0,0
2021-01-04,237,812,129,234,338,925
2021-01-05,27,151,6,17,30,105
2021-01-06,31,151,17,39,60,116
2021-01-07,38,166,23,34,42,138
2021-01-08,52,222,15,30,54,137
2021-01-11,42,218,23,38,61,170
2021-01-12,47,204,16,46,53,162
2021-01-13,96,136,50,106,90,178
2021-01-14,142,1117,45,45,154,523
2021-01-15,73,200,33,49,68,164
2021-01-18,111,267,34,51,51,214
2021-01-19,51,205,29,39,57,151
2021-01-20,70,253,23,49,81,184
2021-01-21,71,232,27,31,47,215
2021-01-22,70,232,23,45,58,199
2021-01-25,63,257,51,40,68,221
2021-01-26,61,214,27,58,66,163
2021-01-27,86,251,38,76,79,218
2021-01-28,53,217,38,73,78,221
2021-01-29,59,186,40,43,66,194
2021-02-01,73,225,42,40,57,225
2021-02-02,94,250,54,43,61,203
2021-02-03,100,201,48,52,69,215
2021-02-04,58,271,27,40,106,239
2021-02-05,72,313,51,46,103,238
2021-02-08,91,342,39,45,94,302
2021-02-09,74,271,46,64,69,246
2021-02-10,91,253,27,75,89,209
2021-02-11,87,325,35,29,105,280
2021-02-12,46,307,44,71,72,237
2021-02-15,95,305,23,75,102,261
